幕,幕名前,季節,場所（イベント）,表示文
導入,久米津 刃、現る,春,民家,古い家の片隅で、久米津 刃は一冊の句帳を見つけた。最後の一頁だけが破り取られ、残されていたのは「言葉は、人と人のあいだに咲く。」という一文。そしてページの間から、百年に一度の祭典「天下一・句会」の参加札が落ちる。そこへ幼なじみの美月 詠良が現れた。「まさか、出るつもり？」「五、七、五にすればいいんだろ？」「……あなた、俳句を滅ぼす気？」こうして後に『句滅人』と呼ばれる男が、俳句の世界へ足を踏み入れた。
第一幕,はじめの一句,春,城下町,桜舞う城下町。刃と詠良、最初の句会が始まる。詠良が詠むのは、季節を映した端正な一句。対する刃は、目についた言葉玉を次々と並べていく。「……できた！」「待って。なんでその言葉を入れたの？」「入れたかったから。」誰もが首をかしげた刃の一句。ところが審査員がぽつり。「妙ですね……なぜか忘れられない。」詠良の表情が、初めて曇った。
第二幕,疾風！夏祭り句会,夏,川辺,太鼓が鳴り、花火が上がる。今宵の勝負は「早詠み句会」。考えている暇などない。次々と現れる言葉玉を、瞬時に一句へ変えろ！これは直感だけで生きている刃の独壇場……のはずだった。「完成！」「早っ！？」しかし完成した句を見て、詠良は絶句する。「刃。速ければ何でもいいわけじゃないから。」疾風のごとく詠み、疾風のごとく散るか。勝負は一瞬。
第三幕,静寂の一句,秋,月夜の山寺,賑やかな祭りを離れ、二人が訪れたのは静かな山寺。虫の声、風に揺れるすすき、夜空に浮かぶ月。今回求められるのは「余韻」。いつもの調子で言葉を並べた刃に、審査員は告げる。「言葉が、それぞれ別の景色を見ています。」刃は初めて自分の句と向き合う。「……なあ詠良。どうして、その言葉にした？」詠良は少し驚き、微笑んだ。「やっと聞いたわね。」
第四幕,白銀の季語,冬,宿場町,雪に閉ざされた宿場町。今回の勝負を支配するのは「季語」。雪、氷、冬空、白鳥。同じ冬でも、言葉ひとつで景色は変わる。「季語って、季節が分かればいいんだろ？」「そういうところが雑なのよ。」詠良から季語を教わり、刃は気づく。言葉玉の向こうには、景色が、記憶が、季節がある。それでも最後に刃が選んだのは、とんでもない言葉。「……なんでそれなの？」「なんとなく。」「何も成長してない！」
第五幕,奇想天外！仮面句会,春,仮面祭,色彩と音楽があふれる仮面祭の夜。ここでは、美しいだけの句は評価されない。求められるのは「誰も見たことのない一句」。刃の珍句が、ついに本領を発揮する。一方、詠良の完成された一句には「美しい。だからこそ……予想通りです。」という厳しい評価が。初めて詠良が刃に尋ねる。「……どうしたら、そんな言葉を選べるの？」「知らん。」「聞いた私が馬鹿だった。」
第六幕,型を破る者,夏,天下一大句会,ついに二人は本選へ。季語、五・七・五、情緒、速さ、独創性、そして総合力。刃の奇抜さだけでも、詠良の美しさだけでも頂には届かない。審査員が刃に告げる。「型を知らぬ者は、型を破ったのではない。」刃は隣の詠良を見る。「なあ。五七五って、ちゃんと教えてくれ。」詠良は呆れた顔で笑う。「……六幕目で言う？」
第七幕,最後の五・七・五,秋,天下一句会決勝,最後の舞台。刃の前に立つのは、これまで競い、教え合ってきた美月 詠良。最後のお題は「自由」。季節の指定も、正解もない。詠良は美しい一句を組み上げる。刃の前には、昔なら迷わず置いたはずの奇妙な言葉玉。「本当に、それを置くの？」「うん。だって、これが一番面白い。」「ほんと……あなたの句、大嫌い。」そして二人は最後の言葉玉を置く。技か、心か。型か、自由か。最後に一句を選ぶのは、あなた自身だ。
第八幕,最終実験,冬,???,六人の審査員が道を開く。その奥から、巨大な筆を持つ異形の機械が現れた。「最終実験を開始します。対象者、久米津 刃。」詠良「私は？」機械は赤い眼を向ける。「対象外。介入を禁止します。」詠良「そんな……。」刃「俺に何をさせる。」機械「十七音を構成。俳句を生成してください。」刃「……また俳句か。」黒い軌跡から、ことば玉が現れる。「一句、ござる。最終実験、第一段階開始。」刃は無言で、ことば玉に手を伸ばした。
第九幕,最終実験,秋,???,奥の闇から新たな機械が歩み出た。無数の文字がその身体を走り、刃の句を読み取っていく。「解析完了。再現を開始」刃がことば玉を並べるたび、機械は同じ言葉をより整った句へ組み替え、容赦なく切り捨てる。「……俺の句を真似して、俺を潰す気か」詠良は見えない壁の向こうで拳を握る。「私にも何かできれば……！」その時、彼女の手元に淡い光が集まり、小さな玉となった。「これは……？」光は壁を越え、刃のもとへ飛んでいった。
第十幕,最終実験,春,???,第二の機械が崩れ落ちると、空間全体が低く震えた。最奥の巨大な扉が開き、重い足音とともに最後の機械が姿を現す。「最終工程へ移行。俳句の完全性を証明する」圧倒的な気配に、刃はことば玉を握り直した。詠良も隣に立つ。「今度は私も戦う」二人の前に無数のことば玉が浮かび上がる。「完全な句、か……上等だ」機械の目が赤く輝く。「不完全なる言葉を排除する」最後の句戦が、静かに始まった。
